,date,value,SMA,WMA,EMA
0,1966-05-31,5.375,,,5.375
1,1966-06-01,5.375,,,5.375
2,1966-06-02,5.375,,,5.375
3,1966-06-03,5.375,,,5.375
4,1966-06-06,5.375,,,5.375
5,1966-06-07,5.375,,,5.375
6,1966-06-08,5.375,,,5.375
7,1966-06-09,5.375,,,5.375
8,1966-06-10,5.375,,,5.375
9,1966-06-13,5.375,,,5.375
10,1966-06-14,5.375,,,5.375
11,1966-06-15,5.375,,,5.375
12,1966-06-16,5.375,,,5.375
13,1966-06-17,5.375,,,5.375
14,1966-06-20,5.375,,,5.375
15,1966-06-21,5.375,,,5.375
16,1966-06-22,5.375,,,5.375
17,1966-06-23,5.375,,,5.375
18,1966-06-24,5.375,,,5.375
19,1966-06-27,5.375,5.375,5.375,5.375
20,1966-06-28,5.5,5.38125,5.386904761904762,5.388562692499521
21,1966-06-29,5.5,5.3875,5.398214285714285,5.4004955412955375
22,1966-06-30,5.5,5.39375,5.4089285714285715,5.411025892619424
23,1966-07-01,5.5,5.4,5.419047619047619,5.420343170144655
24,1966-07-04,5.5,5.40625,5.428571428571429,5.428606409103361
25,1966-07-05,5.5,5.4125,5.4375,5.435950055317097
26,1966-07-06,5.5,5.41875,5.445833333333334,5.4424884791106765
27,1966-07-07,5.5,5.425,5.453571428571428,5.448319525464488
28,1966-07-08,5.5,5.43125,5.460714285714285,5.4535273330652165
29,1966-07-11,5.5,5.4375,5.467261904761905,5.458184592831955
30,1966-07-12,5.5,5.44375,5.473214285714286,5.462354372439795
31,1966-07-13,5.5,5.45,5.478571428571429,5.466091601702678
32,1966-07-14,5.625,5.4625,5.495238095238095,5.481803651172853
33,1966-07-15,5.625,5.475,5.510714285714286,5.495910868600349
34,1966-07-18,5.625,5.4875,5.525,5.508586733047861
35,1966-07-19,5.625,5.5,5.538095238095238,5.519984197751814
36,1966-07-20,5.625,5.5125,5.55,5.53023844215358
37,1966-07-21,5.625,5.525,5.560714285714286,5.539469197691727
38,1966-07-22,5.625,5.5375,5.570238095238095,5.5477827231879004
39,1966-07-25,5.625,5.55,5.578571428571428,5.555273490488984
40,1966-07-26,5.625,5.55625,5.585714285714285,5.562025629196905
41,1966-07-27,5.625,5.5625,5.592261904761905,5.568114170028698
42,1966-07-28,5.625,5.56875,5.598214285714286,5.573606119010852
43,1966-07-29,5.625,5.575,5.603571428571429,5.578561388879171
44,1966-08-01,5.625,5.58125,5.608333333333333,5.583033609392946
45,1966-08-02,5.625,5.5875,5.6125,5.587070834524674
46,1966-08-03,5.625,5.59375,5.616071428571429,5.5907161614586105
47,1966-08-04,5.625,5.6,5.619047619047619,5.594008273872413
48,1966-08-05,5.625,5.60625,5.621428571428571,5.596981919969365
49,1966-08-08,5.625,5.6125,5.623214285714286,5.599668334083192
50,1966-08-09,5.625,5.61875,5.624404761904762,5.602095609322096
51,1966-08-10,5.625,5.625,5.625,5.604289027597146
52,1966-08-11,5.625,5.625,5.625,5.606271352448215
53,1966-08-12,5.625,5.625,5.625,5.608063089302942
54,1966-08-15,5.625,5.625,5.625,5.609682717152515
55,1966-08-16,5.625,5.625,5.625,5.611146895079763
56,1966-08-17,5.625,5.625,5.625,5.612470646611997
57,1966-08-18,5.625,5.625,5.625,5.613667524478435
58,1966-08-19,5.625,5.625,5.625,5.614749758017948
59,1966-08-22,5.75,5.63125,5.636904761904762,5.6276625812552155
60,1966-08-23,5.75,5.6375,5.648214285714285,5.639339821501714
61,1966-08-24,5.75,5.64375,5.6589285714285715,5.649900207080872
62,1966-08-25,5.75,5.65,5.669047619047619,5.659450966826547
63,1966-08-26,5.75,5.65625,5.678571428571429,5.668088960335149
64,1966-08-29,5.75,5.6625,5.6875,5.675901694154939
65,1966-08-30,5.75,5.66875,5.695833333333334,5.682968235955675
66,1966-08-31,5.75,5.675,5.703571428571428,5.689360037356653
67,1966-09-01,5.75,5.68125,5.710714285714285,5.695141674896807
68,1966-09-02,5.75,5.6875,5.717261904761905,5.70037151758281
69,1966-09-05,5.75,5.69375,5.723214285714286,5.705102328529969
70,1966-09-06,5.75,5.7,5.728571428571429,5.709381807399096
71,1966-09-07,5.75,5.70625,5.733333333333333,5.713253079615914
72,1966-09-08,5.75,5.7125,5.7375,5.716755137725594
73,1966-09-09,5.75,5.71875,5.741071428571429,5.719923239673216
74,1966-09-12,5.75,5.725,5.744047619047619,5.722789268302189
75,1966-09-13,5.75,5.73125,5.746428571428571,5.7253820559191935
76,1966-09-14,5.75,5.7375,5.748214285714286,5.727727677379395
77,1966-09-15,5.75,5.74375,5.749404761904762,5.729849714793581
78,1966-09-16,5.75,5.75,5.75,5.731769496644595
79,1966-09-19,5.75,5.75,5.75,5.733506313819522
80,1966-09-20,5.75,5.75,5.75,5.735077614812769
81,1966-09-21,5.75,5.75,5.75,5.736499182130065
82,1966-09-22,5.75,5.75,5.75,5.737785291721654
83,1966-09-23,5.75,5.75,5.75,5.738948857091931
84,1966-09-26,5.75,5.75,5.75,5.740001559570262
85,1966-09-27,5.75,5.75,5.75,5.740953966081687
86,1966-09-28,5.75,5.75,5.75,5.741815635624977
87,1966-09-29,5.75,5.75,5.75,5.742595215547406
88,1966-09-30,5.75,5.75,5.75,5.743300528599325
89,1966-10-03,5.75,5.75,5.75,5.743938651655967
90,1966-10-04,5.75,5.75,5.75,5.744515986907668
91,1966-10-05,5.75,5.75,5.75,5.7450383262420175
92,1966-10-06,5.75,5.75,5.75,5.745510909471431
93,1966-10-07,5.75,5.75,5.75,5.745938476996451
94,1966-10-10,5.75,5.75,5.75,5.746325317438121
95,1966-10-11,5.75,5.75,5.75,5.746675310721359
96,1966-10-12,5.75,5.75,5.75,5.746991967044856
97,1966-10-13,5.75,5.75,5.75,5.747278462131122
98,1966-10-14,5.75,5.75,5.75,5.747537669112486
99,1966-10-17,5.75,5.75,5.75,5.747772187374681
100,1966-10-18,5.75,5.75,5.75,5.747984368648813
101,1966-10-19,5.75,5.75,5.75,5.748176340614575
102,1966-10-20,5.75,5.75,5.75,5.7483500282524576
103,1966-10-21,5.75,5.75,5.75,5.7485071731598705
104,1966-10-24,5.75,5.75,5.75,5.748649351025559
105,1966-10-25,5.625,5.74375,5.738095238095238,5.736872931519411
106,1966-10-26,5.625,5.7375,5.726785714285715,5.726218128536487
107,1966-10-27,5.625,5.73125,5.7160714285714285,5.716578111884114
108,1966-10-28,5.625,5.725,5.705952380952381,5.707856227410073
109,1966-10-31,5.625,5.71875,5.696428571428571,5.699965027540876
110,1966-11-01,5.625,5.7125,5.6875,5.692825394206887
111,1966-11-02,5.625,5.70625,5.679166666666666,5.686365745345155
112,1966-11-03,5.625,5.7,5.671428571428572,5.680521317011709
113,1966-11-04,5.625,5.69375,5.664285714285715,5.675233513895454
114,1966-11-07,5.625,5.6875,5.657738095238095,5.6704493217135425
115,1966-11-08,5.625,5.68125,5.651785714285714,5.6661207755901035
